Pin Label,Pin Number,Pin Type,Side Friendly,Side Dx
PIN_1,1,BI,left,2
PIN_3,3,BI,left,2
PIN_5,5,BI,left,2
PIN_7,7,BI,left,2
PIN_9,9,BI,left,2
PIN_11,11,BI,left,2
PIN_13,13,BI,left,2
PIN_15,15,BI,left,2
PIN_17,17,BI,left,2
PIN_19,19,BI,left,2
PIN_21,21,BI,left,2
PIN_23,23,BI,left,2
PIN_25,25,BI,left,2
PIN_27,27,BI,left,2
PIN_29,29,BI,left,2
PIN_31,31,BI,left,2
PIN_33,33,BI,left,2
PIN_35,35,BI,left,2
PIN_37,37,BI,left,2
PIN_39,39,BI,left,2
PIN_41,41,BI,left,2
PIN_43,43,BI,left,2
PIN_45,45,BI,left,2
PIN_47,47,BI,left,2
PIN_49,49,BI,left,2
PIN_51,51,BI,left,2
PIN_53,53,BI,left,2
PIN_55,55,BI,left,2
PIN_57,57,BI,left,2
PIN_59,59,BI,left,2
PIN_61,61,BI,left,2
PIN_63,63,BI,left,2
PIN_65,65,BI,left,2
PIN_67,67,BI,left,2
PIN_69,69,BI,left,2
PIN_71,71,BI,left,2
PIN_73,73,BI,left,2
PIN_75,75,BI,left,2
PIN_77,77,BI,left,2
PIN_79,79,BI,left,2
PIN_81,81,BI,left,2
PIN_83,83,BI,left,2
PIN_85,85,BI,left,2
PIN_87,87,BI,left,2
PIN_89,89,BI,left,2
PIN_91,91,BI,left,2
PIN_93,93,BI,left,2
PIN_95,95,BI,left,2
PIN_97,97,BI,left,2
PIN_99,99,BI,left,2
PIN_101,101,BI,left,2
PIN_103,103,BI,left,2
PIN_105,105,BI,left,2
PIN_107,107,BI,left,2
PIN_109,109,BI,left,2
PIN_111,111,BI,left,2
PIN_113,113,BI,left,2
PIN_115,115,BI,left,2
PIN_117,117,BI,left,2
PIN_119,119,BI,left,2
PIN_121,121,BI,left,2
PIN_123,123,BI,left,2
PIN_125,125,BI,left,2
PIN_127,127,BI,left,2
PIN_129,129,BI,left,2
PIN_131,131,BI,left,2
PIN_133,133,BI,left,2
PIN_135,135,BI,left,2
PIN_137,137,BI,left,2
PIN_139,139,BI,left,2
PIN_141,141,BI,left,2
PIN_143,143,BI,left,2
PIN_145,145,BI,left,2
PIN_147,147,BI,left,2
PIN_149,149,BI,left,2
PIN_151,151,BI,left,2
PIN_153,153,BI,left,2
PIN_155,155,BI,left,2
PIN_157,157,BI,left,2
PIN_159,159,BI,left,2
PIN_161,161,BI,left,2
PIN_163,163,BI,left,2
PIN_165,165,BI,left,2
PIN_167,167,BI,left,2
PIN_2,2,BI,right,3
PIN_4,4,BI,right,3
PIN_6,6,BI,right,3
PIN_8,8,BI,right,3
PIN_10,10,BI,right,3
PIN_12,12,BI,right,3
PIN_14,14,BI,right,3
PIN_16,16,BI,right,3
PIN_18,18,BI,right,3
PIN_20,20,BI,right,3
PIN_22,22,BI,right,3
PIN_24,24,BI,right,3
PIN_26,26,BI,right,3
PIN_28,28,BI,right,3
PIN_30,30,BI,right,3
PIN_32,32,BI,right,3
PIN_34,34,BI,right,3
PIN_36,36,BI,right,3
PIN_38,38,BI,right,3
PIN_40,40,BI,right,3
PIN_42,42,BI,right,3
PIN_44,44,BI,right,3
PIN_46,46,BI,right,3
PIN_48,48,BI,right,3
PIN_50,50,BI,right,3
PIN_52,52,BI,right,3
PIN_54,54,BI,right,3
PIN_56,56,BI,right,3
PIN_58,58,BI,right,3
PIN_60,60,BI,right,3
PIN_62,62,BI,right,3
PIN_64,64,BI,right,3
PIN_66,66,BI,right,3
PIN_68,68,BI,right,3
PIN_70,70,BI,right,3
PIN_72,72,BI,right,3
PIN_74,74,BI,right,3
PIN_76,76,BI,right,3
PIN_78,78,BI,right,3
PIN_80,80,BI,right,3
PIN_82,82,BI,right,3
PIN_84,84,BI,right,3
PIN_86,86,BI,right,3
PIN_88,88,BI,right,3
PIN_90,90,BI,right,3
PIN_92,92,BI,right,3
PIN_94,94,BI,right,3
PIN_96,96,BI,right,3
PIN_98,98,BI,right,3
PIN_100,100,BI,right,3
PIN_102,102,BI,right,3
PIN_104,104,BI,right,3
PIN_106,106,BI,right,3
PIN_108,108,BI,right,3
PIN_110,110,BI,right,3
PIN_112,112,BI,right,3
PIN_114,114,BI,right,3
PIN_116,116,BI,right,3
PIN_118,118,BI,right,3
PIN_120,120,BI,right,3
PIN_122,122,BI,right,3
PIN_124,124,BI,right,3
PIN_126,126,BI,right,3
PIN_128,128,BI,right,3
PIN_130,130,BI,right,3
PIN_132,132,BI,right,3
PIN_134,134,BI,right,3
PIN_136,136,BI,right,3
PIN_138,138,BI,right,3
PIN_140,140,BI,right,3
PIN_142,142,BI,right,3
PIN_144,144,BI,right,3
PIN_146,146,BI,right,3
PIN_148,148,BI,right,3
PIN_150,150,BI,right,3
PIN_152,152,BI,right,3
PIN_154,154,BI,right,3
PIN_156,156,BI,right,3
PIN_158,158,BI,right,3
PIN_160,160,BI,right,3
PIN_162,162,BI,right,3
PIN_164,164,BI,right,3
PIN_166,166,BI,right,3
PIN_168,168,BI,right,3
