Name,Pin ID,Direction
DIS,16,in
GND,5,Power
GND,11,Power
GND,17,Power
GND,23,Power
GND,29,Power
GND,35,Power
GND,6,Power
GND,12,Power
GND,18,Power
GND,24,Power
GND,30,Power
GND,36,Power
NC0,2,None
NC1,20,None
NC2,22,None
NC3,26,None
NC4,28,None
RSSI,4,out
RSTN,14,in
RXN,7,out
RXP,9,out
SCL,10,bi
SDA,8,bi
TH1,32,bi
TH2,34,bi
TX1N,13,in
TX1P,15,in
TX2N,19,in
TX2P,21,in
TX3N,25,in
TX3P,27,in
TX4N,31,in
TX4P,33,in
VCCR2V5,1,Power
VCCR2V5,3,Power
VCCT1V2,38,Power
VCCT1V2,40,Power
VCCT2V5,37,Power
VCCT2V5,39,Power
